name,address,phone,lat,lng
Galeri Plastik,"Ps. Muara Karang, Jl. Muara Karang Raya No.3 9, RT.9/RW.3, Pluit, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",0857-7290-8868,-6.1157329,106.7431748
Castellys Packaging Jakarta - Packaging & Peralatan Kue Import,"Apartemen Green Bay Pluit Tower D Dahlia - Unit LGM 22, RT.20/RW.2, Pluit, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",0812-7973-8234,-6.1157329,106.7431748
Toko Multi Plastik,"Jl. Niaga III No.19, RT.10/RW.3, Pluit, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",(021) 66606357,-6.1157329,106.7431748
Toko Siantar Plastik,"Jl. Pluit Karang Jelita I No.10, RT.9/RW.8, Pluit, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",(021) 6618163,-6.1157329,106.7431748
Toko Mega Plastik,"Ps. Muara Karang, Jl. Muara Karang Raya No.3, RT.9/RW.3, Pluit, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",0878-8511-1735,-6.1157329,106.7431748
PlastMart,"Ps. Muara Karang, Jl. Muara Karang Raya, RT.9/RW.3, Pluit, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",0815-7301-4057,-6.1157329,106.7431748
Toko TITI JAYA PLASTIK Muara Karang,"Depan Tangga, Gedung Pasar Muara Karang Lt.1 No.11, RT.10/RW.3, Pluit, Penjaringan, North Jakarta City, Jakarta 14450",0852-8061-5829,-6.1157329,106.7431748
TOKO TM PLASTIK RAWA BEBEK 1,"RT 10, Jl. Rw. Bebek I No.1, RT.10/RW.11, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",0817-1718-6888,-6.1157329,106.7431748
Menara Plastik,"Pasar Pagi II No.31 3, RT.3/RW.2, Roa Malaka, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11230",0819-0511-2239,-6.1314447,106.7636463
Toko Duta Plastik,"1, Jl. Ps. Pagi Raya No.140, RT.1/RW.2, Roa Malaka, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11230",0812-9120-0219,-6.1314447,106.7636463
Toko Mulia Plastik Jembatan Lima,"seberang bank danamon, Jl. KH.Moh.Mansyur No.258 1, RT.1/RW.1, Tambora, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11250",(021) 6392916,-6.1314447,106.7636463
Toko Sukses plastik,"Jl. KH.Moh.Mansyur No.171, RT.3/RW.1, Jemb. Lima, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11250",0838-9746-7730,-6.1314447,106.7636463
Toko Plastik 2,"Jl. Niaga II blok Z 5, barat No.mor 22, RT.11/RW.3, Pluit, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",,-6.1160367,106.7433986
SKSS Plastik,"Villa Mas Mediterania, Jl. Vikamas Tengah No.12B Blok A, RT.3/RW.1, Kapuk Muara, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14460",0897-6209-209,-6.1160367,106.7433986
Jakarta Plastik,"Jl. G No.308, RT.11/RW.14, Pejagalan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",0895-3387-93161,-6.1160367,106.7433986
TOKO DUNIA PLASTIK 88,"Jl. Ruko Mutiara Palem Raya Blok I 1 No.6 4, RT.4/RW.14, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",0822-9788-8818,-6.1414209,106.6999092
Toko Indra Jaya Plastik,"Jl. Sawah Lio III No.4 2, RT.2/RW.8, Jemb. Lima, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11250",0813-1128-1763,-6.1475118,106.7671836
Toko Jaya Singapore Plastik,"Jl. KH.Moh.Mansyur No.266, RT.1/RW.1, Jemb. Lima, Kec. Tambora, Jakarta, Daerah Khusus Ibukota Jakarta 11220",0896-5151-3901,-6.1475118,106.7671836
Toko Plastik Oten,"Jl. Raya Duri Kosambi No.32H, RT.1/RW.7, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750",0877-7288-9828,-6.1633439,106.6897508
Toko Plastik 88,"Jl. Kapuk Pulo, RT.7/RW.10, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",0895-3261-29619,-6.1415304,106.7162446
Toko Plastik Asun - Aneka Baru,"Jl. Perniagaan Bar. No.2, RT.12/RW.2, Roa Malaka, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11230",(021) 6901522,-6.1414144,106.7720524
Cahaya Bintang Toko,"PASAR PAGI MANGGA DUA, Blok PA 14 Jl. Mangga Dua Raya No.15 Lt. Semi Basement, RT.11/RW.5, Ancol, JAKARTA, North Jakarta City, Jakarta 14430",(021) 6013018,-6.1414144,106.7720524
Global Plastik,"Global Plastik, Jl. Pangeran Tubagus Angke No.28 10, RT.10/RW.2, Jemb. Lima, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11250",(021) 6343005,-6.1414144,106.7720524
Indo Prima Toko,"Jl. Taman Sari VI No.39, Maphar, Kec. Taman Sari, Jakarta, Daerah Khusus Ibukota Jakarta 11150",0813-5872-3209,-6.1414144,106.7720524
Toko Plastik Indah,"Jl. Petak Baru Ps. Pagi Los B No.15, RT.5/RW.2, Roa Malaka, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11230",(021) 6908357,-6.1414144,106.7720524
